card_id,playerClass,type,name,set,text,cost,attack,health,rarity,collectible,flavor,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability
AT_001,MAGE,SPELL,Flame Lance,TGT,"Deal $25 damage
to a minion.",5,,,COMMON,true,"It's on the rack next to ice lance, acid lance, and English muffin lance.",,,,,,
AT_002,MAGE,SPELL,Effigy,TGT,"<b>Secret:</b> When a friendly minion dies, summon a random minion with the same Cost.",3,,,RARE,true,"Burning man, brah.",,,,,,
AT_003,MAGE,MINION,Fallen Hero,TGT,Your Hero Power deals 1 extra damage.,2,3,2,RARE,true,And he can't get up.,UNDEAD,,,,,
AT_004,MAGE,SPELL,Arcane Blast,TGT,Deal $2 damage to a minion. This spell gets double bonus from <b>Spell Damage</b>.,1,,,EPIC,true,Now with 100% more blast!,,,,,,
AT_005,MAGE,SPELL,Polymorph: Boar,TGT,Transform a minion into a 4/2 Boar with <b>Charge</b>.,3,,,RARE,true,It's always Huffer.,,,,,,
AT_006,MAGE,MINION,Dalaran Aspirant,TGT,"<b>Spell Damage +1</b>
<b>Inspire:</b> Gain <b>Spell Damage +1</b>.",4,3,5,COMMON,true,Is he aspiring or inspiring?  Make up your mind!,,,,,,
AT_007,MAGE,MINION,Spellslinger,TGT,"<b>Battlecry:</b> Both players
get a random spell.
Yours costs (2) less.",3,3,4,COMMON,true,"Does he sling spells, or do his spells linger about.  Who can say?",,,,,,
AT_008,MAGE,MINION,Coldarra Drake,TGT,You can use your Hero Power any number of times.,6,6,7,EPIC,true,"The Grand Tournament has a ""No dragons allowed"" policy, but it's rarely enforced.",DRAGON,,,,,
AT_009,MAGE,MINION,Rhonin,TGT,<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.,8,7,7,LEGENDARY,true,A masterless shamurai.,,,,,,
AT_010,HUNTER,MINION,Ram Wrangler,TGT,"<b>Battlecry:</b> If you have a Beast, summon a
random Beast.",5,3,3,RARE,true,Not getting trampled is really the trick here.,,,,,,
AT_011,PRIEST,MINION,Holy Champion,TGT,<b>Overheal:</b> Gain +2 Attack.,2,1,4,COMMON,true,She really likes seeing people get better.  That's why she hurts them in the first place.,,,,,,
AT_012,PRIEST,MINION,Spawn of Shadows,TGT,"<b>Battlecry and Inspire:</b>
Deal 4 damage to
each hero.",5,5,5,RARE,true,What did you expect to happen?  He's a Spawn.  Of Shadows.,UNDEAD,,,,,
AT_013,PRIEST,SPELL,Power Word: Glory,TGT,"Choose a minion. Whenever it attacks, restore 4 Health to
your hero.",1,,,COMMON,true,The promise of glory is a powerful tool to get minions to do your bidding.  Only slightly less powerful than the promise of an ice cream bar!,,,,,,
AT_014,PRIEST,MINION,Shadowfiend,TGT,"Whenever you draw a card, reduce its Cost by (1).",2,2,3,EPIC,true,"Hopes to be promoted to ""Shadowfriend"" someday.",,,,,,
AT_015,PRIEST,SPELL,Convert,TGT,Put a copy of an enemy minion into your hand. It costs (1).,3,,,RARE,true,"""Are you interested in... HEALTH benefits?!""",,,,,,
AT_016,PRIEST,SPELL,Confuse,TGT,Swap the Attack and Health of all minions.,2,,,EPIC,true,This minion is really powerful!,,,,,,
AT_017,NEUTRAL,MINION,Twilight Guardian,TGT,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.",4,2,6,EPIC,true,"A result of magical experiments carried out by the Black Dragonflight, it's not his fault that he's a vicious killer.",DRAGON,,,,,
AT_018,PRIEST,MINION,Confessor Paletress,TGT,<b>Battlecry and Inspire:</b> Summon a random <b>Legendary</b> minion.,7,5,4,LEGENDARY,true,She sees into your past and makes you face your fears.  Most common fear:  Getting Majordomo out of Sneed's Old Shredder.,,,,,,
