card_id,mechanic
AT_002,SECRET
AT_003,HEROPOWER_DAMAGE
AT_004,RECEIVES_DOUBLE_SPELLDAMAGE_BONUS
AT_006,INSPIRE
AT_007,BATTLECRY
AT_009,DEATHRATTLE
AT_010,BATTLECRY
AT_011,OVERHEAL
AT_012,BATTLECRY
AT_012,INSPIRE
AT_014,TRIGGER_VISUAL
AT_017,BATTLECRY
AT_018,BATTLECRY
AT_018,INSPIRE
AT_019,DEATHRATTLE
AT_021,TRIGGER_VISUAL
AT_022,InvisibleDeathrattle
AT_023,INSPIRE
AT_026,TRIGGER_VISUAL
AT_027,TRIGGER_VISUAL
AT_028,COMBO
AT_029,TRIGGER_VISUAL
AT_030,COMBO
AT_031,TRIGGER_VISUAL
AT_032,BATTLECRY
AT_036,DEATHRATTLE
AT_037,CHOOSE_ONE
AT_038,BATTLECRY
AT_038,DEATHRATTLE
AT_039,INSPIRE
AT_040,BATTLECRY
AT_042,CHOOSE_ONE
AT_045,AURA
AT_046,BATTLECRY
AT_047,BATTLECRY
AT_049,BATTLECRY
AT_049,INSPIRE
AT_050,DEATHRATTLE
AT_051,OVERLOAD
AT_052,OVERLOAD
AT_053,OVERLOAD
AT_054,BATTLECRY
AT_057,BATTLECRY
AT_058,BATTLECRY
AT_059,INSPIRE
AT_060,SECRET
AT_063,TRIGGER_VISUAL
AT_063t,TRIGGER_VISUAL
AT_065,BATTLECRY
AT_066,INSPIRE
AT_069,BATTLECRY
AT_070,CHARGE
AT_071,BATTLECRY
AT_072,BATTLECRY
AT_073,SECRET
AT_075,AURA
AT_076,INSPIRE
AT_077,BATTLECRY
AT_079,BATTLECRY
AT_081,BATTLECRY
AT_082,INSPIRE
AT_083,INSPIRE
AT_084,BATTLECRY
AT_085,AURA
AT_086,BATTLECRY
AT_087,CHARGE
AT_087,DIVINE_SHIELD
AT_088,FORGETFUL
AT_089,INSPIRE
AT_090,INSPIRE
AT_091,INSPIRE
AT_093,SPELLPOWER
AT_094,BATTLECRY
AT_095,DIVINE_SHIELD
AT_095,STEALTH
AT_096,BATTLECRY
AT_097,TAUNT
AT_098,BATTLECRY
AT_099,INSPIRE
AT_100,INSPIRE
AT_103,BATTLECRY
AT_104,BATTLECRY
AT_105,BATTLECRY
AT_106,BATTLECRY
AT_108,BATTLECRY
AT_109,CANT_ATTACK
AT_109,INSPIRE
AT_110,INSPIRE
AT_111,BATTLECRY
AT_112,BATTLECRY
AT_113,INSPIRE
AT_114,TAUNT
AT_115,BATTLECRY
AT_116,BATTLECRY
AT_117,BATTLECRY
AT_118,BATTLECRY
AT_119,INSPIRE
AT_121,TRIGGER_VISUAL
AT_122,BATTLECRY
AT_123,DEATHRATTLE
AT_123,TAUNT
AT_124,TRIGGER_VISUAL
AT_125,CHARGE
AT_127,INSPIRE
AT_128,DEATHRATTLE
AT_129,TRIGGER_VISUAL
AT_131,TRIGGER_VISUAL
AT_132,BATTLECRY
AT_133,BATTLECRY
AV_100,BATTLECRY
AV_101,BATTLECRY
AV_102,DEATHRATTLE
AV_107,DISCOVER
AV_112,BATTLECRY
AV_113,BATTLECRY
AV_113,DISCOVER
AV_114,BATTLECRY
AV_115,BATTLECRY
AV_118,TRIGGER_VISUAL
AV_121,HONORABLE_KILL
AV_122,HONORABLE_KILL
AV_123,HONORABLE_KILL
AV_123,STEALTH
AV_124,HONORABLE_KILL
AV_125,BATTLECRY
AV_126,BATTLECRY
AV_127,TRIGGER_VISUAL
AV_129,TRIGGER_VISUAL
AV_130,DEATHRATTLE
AV_131,BATTLECRY
AV_131,HONORABLE_KILL
AV_132,HONORABLE_KILL
AV_132,RUSH
AV_133,TAUNT
AV_133,TRIGGER_VISUAL
AV_135,TAUNT
AV_136,BATTLECRY
AV_137,TRIGGER_VISUAL
AV_138,BATTLECRY
AV_139,TRIGGER_VISUAL
AV_141t,RUSH
AV_141t,WINDFURY
AV_142t,BATTLECRY
AV_143,DEATHRATTLE
AV_145,BATTLECRY
AV_200,BATTLECRY
AV_201,COMBO
AV_202,BATTLECRY
AV_203,BATTLECRY
AV_204,BATTLECRY
AV_205,BATTLECRY
AV_206,BATTLECRY
AV_207,BATTLECRY
AV_209,HONORABLE_KILL
AV_209,TRIGGER_VISUAL
AV_210,BATTLECRY
AV_211,DEATHRATTLE
AV_211,STEALTH
AV_212,HONORABLE_KILL
AV_215,HONORABLE_KILL
AV_215,RUSH
AV_219,BATTLECRY
AV_222,BATTLECRY
AV_223,BATTLECRY
AV_226,SECRET
AV_238,STEALTH
AV_238,TRIGGER_VISUAL
AV_244,HONORABLE_KILL
AV_244,TRIGGER_VISUAL
AV_251,TRIGGER_VISUAL
AV_255,BATTLECRY
AV_256,BATTLECRY
AV_257,BATTLECRY
AV_258,BATTLECRY
AV_259,HONORABLE_KILL
AV_260,BATTLECRY
AV_261,TRIGGER_VISUAL
AV_262,BATTLECRY
AV_262,TAUNT
AV_267,BATTLECRY
AV_284,BATTLECRY
AV_285,ImmuneToSpellpower
AV_286,BATTLECRY
AV_286,TAUNT
AV_291,TAUNT
AV_293,AURA
AV_293,RUSH
AV_294,BATTLECRY
AV_295,CHOOSE_ONE
AV_296,BATTLECRY
AV_298,RUSH
AV_308,BATTLECRY
AV_309,DEATHRATTLE
AV_312,BATTLECRY
AV_313,BATTLECRY
AV_313,HONORABLE_KILL
AV_315,HONORABLE_KILL
AV_316,BATTLECRY
AV_317,DISCOVER
AV_321,TRIGGER_VISUAL
AV_323,BATTLECRY
AV_323,TAUNT
AV_325,DEATHRATTLE
AV_325,TAUNT
AV_326,TRIGGER_VISUAL
AV_328,DEATHRATTLE
AV_328,TAUNT
AV_331,BATTLECRY
AV_331,DEATHRATTLE
AV_333,DISCOVER
AV_334,DEATHRATTLE
AV_334,RUSH
AV_335,BATTLECRY
AV_336,BATTLECRY
AV_337,DEATHRATTLE
AV_337,TAUNT
AV_339,RUSH
AV_339,TRIGGER_VISUAL
AV_340,HONORABLE_KILL
AV_340,TRIGGER_VISUAL
AV_341,DEATHRATTLE
AV_343,BATTLECRY
AV_345,RUSH
AV_345,TRIGGER_VISUAL
AV_401,TRIGGER_VISUAL
AV_402,HONORABLE_KILL
AV_402,TRIGGER_VISUAL
AV_403,BATTLECRY
AV_565,RUSH
AV_601,STEALTH
AV_601,TRIGGER_VISUAL
AV_704,DEATHRATTLE
AV_710,DISCOVER
AV_711,BATTLECRY
BAR_020,FRENZY
BAR_021,FRENZY
BAR_021,TAUNT
BAR_022,FRENZY
BAR_024,FRENZY
BAR_025,FRENZY
BAR_026,DEATHRATTLE
BAR_026,TAUNT
BAR_027,DEATHRATTLE
BAR_030,BATTLECRY
BAR_030,DISCOVER
BAR_032,ImmuneToSpellpower
BAR_033,TRIGGER_VISUAL
BAR_035,TRIGGER_VISUAL
BAR_037,BATTLECRY
BAR_037,DISCOVER
BAR_038,TRIGGER_VISUAL
BAR_042,BATTLECRY
BAR_043,TRIGGER_VISUAL
BAR_045,BATTLECRY
BAR_060,BATTLECRY
BAR_061,BATTLECRY
BAR_062,BATTLECRY
BAR_063,TRIGGER_VISUAL
BAR_064,BATTLECRY
BAR_065,BATTLECRY
BAR_065,DISCOVER
BAR_065,POISONOUS
BAR_069,BATTLECRY
BAR_069,TAUNT
BAR_070,FRENZY
BAR_071,FRENZY
BAR_072,DEATHRATTLE
BAR_073,FRENZY
BAR_074,CANT_ATTACK
BAR_074,TRIGGER_VISUAL
BAR_075,CANT_ATTACK
BAR_075,TRIGGER_VISUAL
BAR_076,CANT_ATTACK
BAR_076,TRIGGER_VISUAL
BAR_077,BATTLECRY
BAR_078,FRENZY
BAR_078,RUSH
BAR_079,BATTLECRY
BAR_080,BATTLECRY
BAR_081,BATTLECRY
BAR_081,DISCOVER
BAR_082,AURA
BAR_307,BATTLECRY
BAR_310,DEATHRATTLE
BAR_310,TAUNT
BAR_311,LIFESTEAL
BAR_311,ImmuneToSpellpower
BAR_312,TRIGGER_VISUAL
BAR_313,BATTLECRY
BAR_313,TAUNT
BAR_315,BATTLECRY
BAR_316,BATTLECRY
BAR_317,TRIGGER_VISUAL
BAR_320,FRENZY
BAR_322,TRIGGER_VISUAL
BAR_323,DISCOVER
BAR_324,BATTLECRY
BAR_324,DEATHRATTLE
BAR_325,DEATHRATTLE
BAR_326,DEATHRATTLE
BAR_328,OUTCAST
BAR_329,BATTLECRY
BAR_330,DEATHRATTLE
BAR_333,BATTLECRY
BAR_333,OUTCAST
BAR_334,BATTLECRY
BAR_535,DEATHRATTLE
BAR_535,TAUNT
BAR_537,AURA
BAR_538,FRENZY
BAR_538,RUSH
BAR_540,TRIGGER_VISUAL
BAR_541,DISCOVER
BAR_544,BATTLECRY
BAR_545,AURA
BAR_547,BATTLECRY
BAR_550,SECRET
BAR_551,BATTLECRY
BAR_552,COMBO
BAR_720,TRIGGER_VISUAL
BAR_721,BATTLECRY
BAR_735,BATTLECRY
BAR_743,BATTLECRY
BAR_743,TAUNT
BAR_744,TRIGGER_VISUAL
BAR_745,BATTLECRY
BAR_748,BATTLECRY
BAR_750,BATTLECRY
BAR_750,TAUNT
BAR_751,DEATHRATTLE
BAR_812,SECRET
BAR_840,BATTLECRY
BAR_840,FRENZY
BAR_843,FRENZY
BAR_844,TRIGGER_VISUAL
BAR_846,BATTLECRY
BAR_846,TAUNT
BAR_847,RUSH
BAR_847,TRIGGER_VISUAL
BAR_848,BATTLECRY
BAR_854,BATTLECRY
BAR_860,TRIGGER_VISUAL
BAR_871,TRIGGER_VISUAL
BAR_873,BATTLECRY
BAR_875,TRIGGER_VISUAL
BAR_876,BATTLECRY
BAR_878,TRIGGER_VISUAL
BAR_879,BATTLECRY
